review_id,aspect,sentiment_label,sentiment_score,aspect_cluster,mapped_aspect
5368,hotel,negative,0.8606969,4,Location
5368,room,positive,0.596763,4,Location
5368,staff,negative,0.9743351,3,Service
5368,duvet,neutral,0.8048775,1,Accomodation
5368,orang,negative,0.904898,1,Accomodation
5368,service,negative,0.96821475,2,Service
5368,response,negative,0.9506719,3,Service
5371,traveler,positive,0.9867632,1,Amenities
5371,hotel,positive,0.97400767,4,Location
5371,service,positive,0.99743253,2,Service
5372,access,positive,0.74314505,2,Service
5372,hotel,positive,0.9900658,4,Location
5374,shower,positive,0.56001824,0,Amenities
5374,circulation,negative,0.83493626,2,Service
5375,bobobox,positive,0.99163616,1,Accomodation
5375,transportation,neutral,0.8168033,2,Service
5375,parking,negative,0.9554578,4,Amenities
5375,lack,negative,0.4770037,3,Food
5376,date,negative,0.9966545,3,Location
5377,smell,negative,0.9059852,0,Atmosphere
5378,cool,positive,0.99757236,0,Atmosphere
5378,location,positive,0.9959759,4,Location
5379,bathroom,neutral,0.6450398,0,Amenities
5379,room,positive,0.9900746,4,Location
5379,accommodation,positive,0.9819105,4,Amenities
5379,guest,neutral,0.6958224,3,Amenities
5381,holiday,positive,0.9621748,3,Service
5381,system,positive,0.9966673,2,Service
5381,location,positive,0.9966903,4,Location
5381,staff,positive,0.9961695,3,Service
5381,time,positive,0.9962774,3,Service
5381,success,positive,0.9961421,3,Service
5381,place,positive,0.99743456,3,Location
5381,price,positive,0.9937308,2,Worth
5382,holiday,positive,0.994505,3,Service
5382,budget,positive,0.99225736,3,Worth
5382,service,positive,0.99841046,2,Service
5383,location,positive,0.9958568,4,Location
5383,price,positive,0.9975472,2,Worth
5385,room,neutral,0.53194445,4,Location
5385,staff,negative,0.8655452,3,Service
5385,friendliness,positive,0.96999615,1,Hygiene
5385,facility,neutral,0.58263385,4,Location
5386,bathroom,positive,0.5354614,0,Amenities
5386,table,negative,0.7940605,3,Food
5386,skin,negative,0.7249267,0,Food
5386,space,negative,0.79670507,4,Atmosphere
5386,try,negative,0.662704,3,Food
5386,stool,negative,0.79683596,0,Hygiene
5386,room,positive,0.5984738,4,Location
5386,water,negative,0.6231023,4,Food
5386,pillow,negative,0.76756996,0,Worth
5386,time,negative,0.61479074,3,Service
5386,class,negative,0.53720486,3,Service
5386,one,negative,0.60628605,3,Worth
5387,location,positive,0.99129796,4,Location
5388,requirement,neutral,0.976265,2,Service
5389,bathroom,negative,0.9824468,0,Amenities
5389,room,negative,0.9796434,4,Location
5390,location,positive,0.9964301,4,Location
5391,place,positive,0.9987288,3,Location
5392,service,positive,0.9944601,2,Service
5393,service,positive,0.9984003,2,Service
5394,toilet,negative,0.98934937,0,Hygiene
5395,quality,negative,0.96545434,2,Food
5395,floor,negative,0.9298842,4,Location
5395,room,negative,0.8239159,4,Location
5395,number,negative,0.94414335,3,Service
5395,experience,negative,0.97201085,3,Atmosphere
5396,environment,positive,0.998228,3,Atmosphere
5396,people,positive,0.9978957,3,Food
5397,thing,positive,0.75536644,3,Worth
5397,view,positive,0.9680015,3,Location
5397,access,positive,0.6017345,2,Service
5398,location,positive,0.9929095,4,Location
5398,floor,neutral,0.5283682,4,Location
5398,healing,neutral,0.98554647,3,Atmosphere
5398,facility,positive,0.71495485,4,Location
5398,mager,positive,0.5582212,1,Accomodation
5399,tree,positive,0.99377257,4,Location
5400,lodging,positive,0.9903848,4,Amenities
5400,location,positive,0.99567056,4,Location
5400,sandal,positive,0.9906166,1,Accomodation
5400,design,positive,0.99756974,2,Location
5400,water,positive,0.9963541,4,Food
